1610663898256,fa 06 80 06 08 94,6,8,148
1610663898258,fa 06 80 06 08 94,6,8,148
1610663898297,fa 06 80 03 08 91,3,8,145
1610663898299,fa 06 80 03 08 91,3,8,145
1610663898340,fa 06 80 00 08 8e,0,8,142
1610663898343,fa 06 80 00 08 8e,0,8,142
1610663898386,fa 06 80 fa 07 87,250,7,135
1610663898386,fa 06 80 f8 06 84,248,6,132
1610663898389,fa 06 80 fa 07 87,250,7,135
1610663898389,fa 06 80 f8 06 84,248,6,132
1610663898430,fa 06 80 f7 06 83,247,6,131
1610663898444,fa 06 80 f5 06 81,245,6,129
1610663898476,fa 06 80 f1 05 7c,241,5,124
1610663898478,fa 06 80 f1 05 7c,241,5,124
1610663898520,fa 06 80 ef 05 7a,239,5,122
1610663898566,fa 06 80 e9 04 73,233,4,115
1610663898570,fa 06 80 e9 04 73,233,4,115
1610663898613,fa 06 80 fa 07 87,250,7,135
1610663898617,fa 06 80 fa 07 87,250,7,135
1610663898656,fa 06 80 1e 0c b0,30,12,176
1610663898660,fa 06 80 1e 0c b0,30,12,176
1610663898704,fa 06 80 26 0e ba,38,14,186
1610663898745,fa 06 80 29 0e bd,41,14,189
1610663898745,fa 06 80 29 0e bd,41,14,189
1610663898761,fa 06 80 22 0d b5,34,13,181
1610663898793,fa 06 80 13 0b a4,19,11,164
1610663898796,fa 06 80 13 0b a4,19,11,164
1610663898837,fa 06 80 03 08 91,3,8,145
1610663898839,fa 06 80 03 08 91,3,8,145
1610663898881,fa 06 80 00 08 8e,0,8,142
1610663898934,fa 06 80 00 08 8e,0,8,142
1610663898943,fa 06 80 00 08 8e,0,8,142
1610663898974,fa 06 80 02 08 90,2,8,144
1610663898979,fa 06 80 02 08 90,2,8,144
1610663899026,fa 06 80 00 08 8e,0,8,142
1610663899032,fa 06 80 00 08 8e,0,8,142
1610663899063,fa 06 80 fe 07 8b,254,7,139
1610663899111,fa 06 80 f5 06 81,245,6,129
1610663899117,fa 06 80 f5 06 81,245,6,129
1610663899158,fa 06 80 f0 05 7b,240,5,123
1610663899164,fa 06 80 f0 05 7b,240,5,123
1610663899200,fa 06 80 ec 04 76,236,4,118
1610663899203,fa 06 80 ec 04 76,236,4,118
1610663899239,fa 06 80 eb 04 75,235,4,117
1610663899295,fa 06 80 e3 03 6c,227,3,108
1610663899307,fa 06 80 e3 03 6c,227,3,108
